"times","S","E","On","Of","A","Q","Bs","Bp","v","w","N","POUD","actPOUD","prop.OAT","prop.capacity","dsct","cost","qaly","inj","du.init","date","B_total","O_total","active_users","coverage_rate","capacity_utilization","waiting_change","patients_change"
1469,35033.1448886932,31064.6577546687,5159.63263289426,760.849905224162,2505.54659199514,1.24810443377723,399.620681304008,1204.56744922131,0.609434023760246,0.806415987830439,76129.2680084345,10031.4653650727,5921.73064255221,0.159915632676233,0.174451083297672,0.886949176079414,1471.88073382352,146.123804031403,8570.85402959706,2.18987028163672,4.02465753424658,1604.18813052532,5920.48253811842,5921.73064255221,15.9915632676233,91.6678931728753,0.000103751456604906,-0.0504738725494462
1470,35031.008628586,31064.5086765645,5159.39117756188,761.064839762444,2505.50531983968,1.24820808960254,399.620679806355,1204.51711398794,0.609355587425022,0.806340944805718,76126.8646441984,10031.3473390479,5921.70422541393,0.159912496255617,0.174453135840284,0.886876745298904,1471.72240359688,146.107067783418,8570.71652511883,2.18979368797251,4.02739726027397,1604.1377937943,5920.45601732433,5921.70422541393,15.9912496255617,91.6650167882455,0.000103655825312465,-0.0503367310232079
1471,35028.8726177339,31064.3594536028,5159.14967821982,761.279634038937,2505.46403559921,1.24831164990496,399.620678307927,1204.46691569441,0.60927720582518,0.80626593860329,76124.4613248469,10031.2292535102,5921.67762390866,0.159909374361176,0.174455189466199,0.886804320433296,1471.56419314365,146.090333444017,8570.57884341687,2.18971706447084,4.03013698630137,1604.08759400234,5920.42931225876,5921.67762390866,15.9909374361176,91.6621482287052,0.000103560302411543,-0.0501997919539008
1472,35026.7368561467,31064.2100858148,5158.90813492522,761.494288209668,2505.42273928036,1.24841511479271,399.620676808723,1204.41685413854,0.609198878882886,0.80619096919587,76122.0580504388,10031.1111084773,5921.6508382497,0.159906266972926,0.174457244175181,0.886731901482108,1471.4061022837,146.073601013074,8570.44098468896,2.18964041117832,4.03287671232877,1604.03753094726,5920.40242313489,5921.6508382497,15.9906266972926,91.6592874827007,0.000103464887749594,-0.0500630550795904
1473,35024.6013438339,31064.0605732316,5158.66654773522,761.708802430439,2505.38143088974,1.24851848437388,399.620675308745,1204.36692911838,0.609120606520451,0.806116036556195,76119.6548210324,10030.9929039669,5921.62386865003,0.159903174070914,0.174459299966999,0.886659488444857,1471.24813083716,146.056870490463,8570.30294913271,2.18956372814152,4.03561643835616,1603.98760442712,5920.37535016566,5921.62386865003,15.9903174070914,91.6564345386928,0.000103369581176072,-0.0499265201381149
1474,35022.4660808051,31063.9109158845,5158.4249167069,761.92317685682,2505.34011043398,1.24862175875642,399.620673807992,1204.31714043226,0.609042388660336,0.806041140657022,76117.2516366863,10030.8746399967,5921.59671532247,0.159900095635208,0.174461356841418,0.886587081321059,1471.09027862441,146.040141876057,8570.16473694545,2.18948701540693,4.03835616438356,1603.93781424026,5920.34809356372,5921.59671532247,15.9900095635208,91.6535893851575,0.000103274382539986,-0.0497901868675399
1475,35020.3310670699,31063.7611138047,5158.18324189732,762.137411644155,2505.29877791969,1.24872493804811,399.620672306464,1204.26748787879,0.608964225225148,0.80596628147113,76114.848497459,10030.7563165845,5921.56937847952,0.159897031645903,0.174463414798206,0.886514680110232,1470.93254546608,146.023415169728,8570.02634832435,2.189410273021,4.04109589041096,1603.88816018525,5920.32065354148,5921.56937847952,15.9897031645903,91.6507520105857,0.000103179291690125,-0.0496540550061582
1476,35018.1963026377,31063.6111670234,5157.94152336352,762.351506947562,2505.25743335349,1.24882802235659,399.620670804162,1204.21797125679,0.608886116137642,0.805891458971319,76112.4454034089,10030.6379337479,5921.54185833344,0.159893982083121,0.174465473837128,0.886442284811893,1470.77493118306,146.006690371351,8569.8877834663,2.18933350103011,4.04383561643836,1603.83864206096,5920.29303031108,5921.54185833344,15.9893982083121,91.6479224034832,0.000103084308476165,-0.0495181242945364
1477,35016.0617875179,31063.4610755718,5157.69976116247,762.565462921928,2505.21607674198,1.24893101178934,399.620669301085,1204.1685903654,0.60880806132072,0.805816673130408,76110.0423545944,10030.5194915047,5921.51415509621,0.159890946927007,0.174467533957953,0.886369895425559,1470.61743559648,145.989967480797,8569.749042568,2.18925669948057,4.04657534246575,1603.78925966649,5920.2652240844,5921.51415509621,15.9890946927007,91.6451005523706,0.000102989432747558,-0.049382394470058
1478,35013.92752172,31063.3108394811,5157.45795535116,762.779279721918,2505.17470809177,1.24903390645369,399.620667797235,1204.11934500398,0.608730060697429,0.80574192392124,76107.6393510736,10030.4009898725,5921.48626897952,0.159887926157735,0.174469595160447,0.886297511950747,1470.46005852773,145.973246497939,8569.61012582592,2.18917986841866,4.04931506849315,1603.74001280121,5920.23723507307,5921.48626897952,15.9887926157735,91.6422864457835,0.000102894664354425,-0.0492468652739717
1479,35011.7935052533,31063.1604587825,5157.21610598649,762.992957501969,2505.13332740945,1.24913670645684,399.62066629261,1204.07023497216,0.608652114190963,0.805667211316677,76105.2363929049,10030.2824288691,5921.4582001949,0.159884919755503,0.174471657444376,0.886225134386975,1470.30279979845,145.956527422651,8569.47103343631,2.18910300789058,4.05205479452055,1603.69090126477,5920.20906348846,5921.4582001949,15.9884919755503,91.6394800722723,0.000102800003146886,-0.0491115364454799
1480,35009.659738127,31063.0099335072,5156.97421312538,763.20649641629,2505.09193470162,1.24923941190581,399.620664787212,1204.02126006983,0.608574221724662,0.805592535289601,76102.8334801464,10030.1638085122,5921.42994895356,0.159881927700532,0.174473720809509,0.886152762733759,1470.14565923053,145.939810254805,8569.33176559519,2.18902611794248,4.05479452054795,1603.64192485704,5920.18070954167,5921.42994895356,15.9881927700532,91.6366814204023,0.00010270544897506,-0.048976407724922
1481,35007.5262203505,31062.8592636864,5156.73227682468,763.419896618867,2505.05052997487,1.2493420229075,399.620663281041,1203.97242009715,0.608496383222011,0.805517895812918,76100.4306128564,10030.0451288195,5921.40151546644,0.159878949973072,0.174475785255611,0.886080396990617,1469.9886366461,145.923094994273,8569.19232249838,2.18894919862045,4.05753424657534,1603.59308337819,5920.15217344354,5921.40151546644,15.9878949973072,91.6338904787536,0.000102611001689512,-0.0488414788537739
1482,35005.3929519329,31062.7084493513,5156.49029714122,763.63315826346,2505.00911323579,1.24944453956864,399.620661774096,1203.92371485452,0.608418598606641,0.805443292859553,76098.0277910928,10029.9263898087,5921.37289994426,0.159875986553397,0.174477850782451,0.886008037157067,1469.83173186754,145.906381640928,8569.05270434144,2.18887224997052,4.06027397260274,1603.54437662861,5920.12345540468,5921.37289994426,15.9875986553397,91.6311072359208,0.00010251666114125,-0.0487067495728297
1483,35003.2599328833,31062.5574905331,5156.24827413181,763.846281503605,2504.96768449095,1.24954696199582,399.620660266378,1203.87514414261,0.608340867802326,0.80536872640245,76095.6250149138,10029.8075914973,5921.3441025974,0.159873037421808,0.174479917389795,0.885935683232626,1469.67494471751,145.889670194643,8568.91291131977,2.18879527203865,4.06301369863014,1603.49580440899,5920.09455563542,5921.3441025974,15.9873037421808,91.6283316805138,0.000102422427181281,-0.0485722196226561
1484,35001.1271632109,31062.406387263,5156.00620785321,764.059266492612,2504.92624374693,1.24964929029548,399.620658757887,1203.82670776236,0.608263190732987,0.805294196414578,76093.2222843772,10029.6887339033,5921.31512363612,0.159870102558629,0.174481985077412,0.88586333521681,1469.51827501888,145.872960655289,8568.77294362848,2.18871826487077,4.06575342465753,1603.44736652024,5920.06547434582,5921.31512363612,15.9870102558629,91.6255638011569,0.000102328299660837,-0.0484378887467756
